,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.016175460815429688,0.002013928652277651,0.00016427040100097656,2.533212829991657e-05,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 2}",0.8734177215189873,0.8924050632911392,0.9363057324840764,0.9235668789808917,0.8598726114649682,0.8971136015480127,0.02900467348370692,8
1,0.033064079284667966,0.014545858809642334,0.0011490821838378907,0.0019548875510860715,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 3}",0.8860759493670886,0.9050632911392406,0.8535031847133758,0.9171974522292994,0.8662420382165605,0.8856163831331129,0.02358974400484774,10
2,0.017005443572998047,0.0015813363841083294,0.0002071857452392578,8.71655194967647e-05,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 4}",0.8987341772151899,0.9050632911392406,0.8726114649681529,0.9044585987261147,0.8598726114649682,0.8881480287027333,0.018466788409248158,9
3,0.015370750427246093,0.001859200093058586,0.00014820098876953126,8.912646478619442e-06,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 5}",0.8987341772151899,0.9367088607594937,0.9363057324840764,0.9235668789808917,0.8726114649681529,0.913585422881561,0.024698016270641165,3
4,0.02353205680847168,0.006324705784278764,0.00015168190002441407,1.0257431187904757e-05,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 6}",0.8734177215189873,0.9240506329113924,0.9363057324840764,0.9171974522292994,0.9044585987261147,0.911086027573974,0.021467594708355037,4
5,0.022742319107055663,0.00377046443134912,0.00017199516296386718,1.3709876824461342e-05,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 7}",0.8987341772151899,0.9113924050632911,0.9044585987261147,0.9235668789808917,0.8789808917197452,0.9034265903410466,0.014763206928167473,6
6,0.025929880142211915,0.004450579905697431,0.00015497207641601562,4.1514966697080455e-06,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 8}",0.8860759493670886,0.9367088607594937,0.9171974522292994,0.9235668789808917,0.9044585987261147,0.9136015480125776,0.01724783089710152,2
7,0.028493452072143554,0.003000701651471622,0.00026121139526367185,0.00013038445731382154,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 9}",0.9113924050632911,0.9240506329113924,0.9363057324840764,0.9171974522292994,0.8980891719745223,0.9174070789325164,0.012733402450858862,1
8,0.03719019889831543,0.013093178563053249,0.0013251304626464844,0.001632023459528969,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 10}",0.8860759493670886,0.930379746835443,0.910828025477707,0.9044585987261147,0.9044585987261147,0.9072401838264936,0.014224705519294866,5
9,0.03891191482543945,0.0166328450551158,0.0003260135650634766,0.0002505531580086848,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 12}",0.8544303797468354,0.8607594936708861,0.9044585987261147,0.9171974522292994,0.8726114649681529,0.8818914778682577,0.024668109270773515,11
10,0.14339027404785157,0.07957263982381672,0.0001941204071044922,3.246501239945206e-05,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 15}",0.810126582278481,0.930379746835443,0.9617834394904459,0.9044585987261147,0.9044585987261147,0.9022413932113199,0.050659634056246614,7
