,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05276498794555664,0.0014694068723280632,0.01500110626220703,0.0007207422653907098,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 2}",0.945054945054945,0.9120879120879121,0.8901098901098901,0.945054945054945,0.9560439560439561,0.9296703296703297,0.024670268484223812,11
1,0.052376317977905276,0.0025134599056603315,0.015229892730712891,0.0010609580843536758,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 3}",0.945054945054945,0.9340659340659341,0.8791208791208791,0.9560439560439561,0.978021978021978,0.9384615384615385,0.0330402118205998,7
2,0.05788202285766601,0.008246163124783962,0.01822652816772461,0.00714041796112793,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 4}",0.967032967032967,0.9010989010989011,0.9120879120879121,0.9560439560439561,0.967032967032967,0.9406593406593406,0.028316700498296984,6
3,0.05057368278503418,0.0007406931636077946,0.014062976837158203,0.00018575127692952112,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 5}",0.978021978021978,0.9340659340659341,0.9120879120879121,0.9340659340659341,0.967032967032967,0.945054945054945,0.024075716813413892,4
4,0.05741243362426758,0.012440160787052556,0.013868236541748047,0.0002479161910210538,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 6}",0.967032967032967,0.9120879120879121,0.9120879120879121,0.9010989010989011,0.967032967032967,0.9318681318681318,0.028991002106094333,10
5,0.050688743591308594,0.0020969042444188343,0.014057397842407227,0.00026882994698604356,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 7}",0.989010989010989,0.9120879120879121,0.9010989010989011,0.9230769230769231,0.967032967032967,0.9384615384615385,0.033763278012609275,7
6,0.0539949893951416,0.006904783769450286,0.01441960334777832,0.0005774170451242649,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 8}",0.967032967032967,0.9230769230769231,0.9230769230769231,0.945054945054945,0.967032967032967,0.945054945054945,0.019657740461536594,4
7,0.05231542587280273,0.0013101898972603695,0.014565086364746094,0.0014105335330822596,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 9}",0.945054945054945,0.9120879120879121,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9362637362637363,0.014578570507056717,9
8,0.051476907730102536,0.0028182156674406785,0.01428980827331543,0.0009102010565928754,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 10}",0.967032967032967,0.945054945054945,0.9230769230769231,0.945054945054945,0.967032967032967,0.9494505494505494,0.01644684565614918,3
9,0.05140047073364258,0.0015646578177921943,0.015019559860229492,0.0016660798434936736,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 12}",0.945054945054945,0.967032967032967,0.9560439560439561,0.9560439560439561,0.978021978021978,0.9604395604395604,0.011206636293610508,2
10,0.05349035263061523,0.0015170411412254432,0.014995622634887695,0.0011652775642316078,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 15}",0.989010989010989,0.967032967032967,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01281527888976988,1
